,FalseSent,Option,label
3028,I am parking my car in park,Cars are parked in the parking slots,0
3029,I am parking my car in park,Car cannot go in to inside a park,0
3030,I am parking my car in park,A car cannot be parked in a park or play area,1
3032,My mechanic gave me the last dose of the injection yesterday.,A mechanic is not a medical personnel and cannot give anyone an injection.,1
3033,My mechanic gave me the last dose of the injection yesterday.,Mechanics are usually employed by garages and workshops whie a doctor by clinics and hospitals.,0
3034,My mechanic gave me the last dose of the injection yesterday.,Mechanics work on machines and not on human bodies like the doctors.,0
3036,We need save his life with two pints of poison.,Poison kills and cannot save any life.,1
3037,We need save his life with two pints of poison.,Blood is red in color but poison can assume various colors.,0
3038,We need save his life with two pints of poison.,Any trace of poison in the blood is not safe.,0
3040,She used a banana to hold her pants up.,Bananas are not long or flexible enough to hold up. pants,1
3041,She used a banana to hold her pants up.,Bananas are too yellow to hold pants up.,0
3042,She used a banana to hold her pants up.,A banana should be used to put pants on.,0
3044,A pig flies in the sky,Pigs are pink while birds have wings,0
3045,A pig flies in the sky,Pigs cannot fly,1
3046,A pig flies in the sky,Birds cannot carry a pig,0
3048,I ate a live chicken,Live chickens are much harder to eat,0
3049,I ate a live chicken,A live chicken is not consumed by a human,0
3050,I ate a live chicken,Humans do not eat live chickens,1
3052,he uses hanger to print the pictures,hanger is a great to hold many things,0
3053,he uses hanger to print the pictures,hanger is not a thing to give us a printout,1
3054,he uses hanger to print the pictures,hanger has lot of hooks,0
3056,SHE PICKS ORANGE FROM PALM TREE.,NEVER PALM TREE PRODUCES ORANGE.,1
3057,SHE PICKS ORANGE FROM PALM TREE.,PALM TREE IS BIGGER THAN ORANGE TREE.,0
3058,SHE PICKS ORANGE FROM PALM TREE.,ORANGE AND PALM ARE DIFFERENT TREES.,0
3060,Most cities have a football team.,Football teams don't represent multiple cities.,0
3061,Most cities have a football team.,People living outside may cheer for a city's football team.,0
3062,Most cities have a football team.,There are far more cities than football teams.,1
3064,He filled up the bathtub with fire,Fire is red but most bathtubs are white,0
3065,He filled up the bathtub with fire,Bathtubs don't hold fire,1
3066,He filled up the bathtub with fire,Fire is hotter than a bathtub,0
3068,Musicians have a great eye,"Musicians have got generally speaking, two eyes",0
3069,Musicians have a great eye,There were great musicians who did not have any eyes,0
3070,Musicians have a great eye,You do not need an excellent eye to be able to be a musician,1
3072,A boy went to the bathroom to take the books,Bathroom is the not the right place to have the books,1
3073,A boy went to the bathroom to take the books,There is more space to keep the books,0
3074,A boy went to the bathroom to take the books,It is peaceful place to keep the books,0
3076,Alcohol can improve one's memory of events.,People can remember drinking alcohol.,0
3077,Alcohol can improve one's memory of events.,Alcohol blocks or confuses people's mental state.,1
3078,Alcohol can improve one's memory of events.,People can remember being inhibited by alcohol.,0
3080,she eats metal things to be alive,metals are too shining.,0
3081,she eats metal things to be alive,metals can use for build something,0
3082,she eats metal things to be alive,no one human can eat metals things to eat as food,1
3084,I usually play tennis with a football.,Tennis balls are usually green while footballs are usually white.,0
3085,I usually play tennis with a football.,Footballs are played by leg.,0
3086,I usually play tennis with a football.,None can play tennis with a football.,1
3088,Wine is a type of beer,Beer and wine contain alcohol,0
3089,Wine is a type of beer,Wine is not a subtype of beer because they are very different,1
3090,Wine is a type of beer,Wine and beer are types of drink,0
3092,We played our last football tournament at Telsi Indoor Restaurant.,An Indoor Restaurants does not have a football field to host a tournament.,1
3093,We played our last football tournament at Telsi Indoor Restaurant.,The seating capacity of a standard stadium is far much greater that the seating capacity of any standard restaurant.,0
3094,We played our last football tournament at Telsi Indoor Restaurant.,A restaurant is meant to feed the people while a stadium is meant to entertain the people.,0
3096,MY SISTER EATS STONE EVERY MORNING.,STONE WAS ALSO IN ROUND SHAPED LIKE APPLE.,0
3097,MY SISTER EATS STONE EVERY MORNING.,STONE IS  BIGGER THAN HER MOUTH.,0
3098,MY SISTER EATS STONE EVERY MORNING.,NO CAN EAT STONE AS THEIR FOOD.,1
3100,He took ice cream for fever,Ice cream comes in different flavor,0
3101,He took ice cream for fever,Ice cream is sold by many shops,0
3102,He took ice cream for fever,ice cream is not a medicine,1
3104,the Sahara desert is covered with water,there is sand in the ocean which contains water,0
3105,the Sahara desert is covered with water,there is water in the desert but it does not cover it,0
3106,the Sahara desert is covered with water,deserts do not contain excessive amounts of water,1
3108,He ate sewage for dinner,Sewage is not food,1
3109,He ate sewage for dinner,Sewage is liquid like some food.,0
3110,He ate sewage for dinner,Sewage is not seasoned like food.,0
3112,Wolfs are friend of man,Wolf are wild animals,1
3113,Wolfs are friend of man,Wolfs howls in the wild,0
3114,Wolfs are friend of man,Wolfs hunts in packs,0
3116,Christmas is a pagan holiday,There are holidays in the pagan calander which are not Christmas,0
3117,Christmas is a pagan holiday,People who celebrate Christmas and the ones who were pagans had holidays,0
3118,Christmas is a pagan holiday,Christmas celebrates the birth of Jesus which is not a pagan religion and is a holiday in december,1
3120,I washed my dishes with gasoline.,The price of gasoline has risen too much.,0
3121,I washed my dishes with gasoline.,Gasoline is not used for cleaning.,1
3122,I washed my dishes with gasoline.,I put gasoline under the sink.,0
3124,My watch uses a litter box.,A watch is not alive and does not need to expel waste in a litter box.,1
3125,My watch uses a litter box.,"A watch is worn on a wrist, not on a litter box.",0
3126,My watch uses a litter box.,A watch does not have legs to walk into a litter box.,0
3128,He drove a cat,a cat is not a vehicle to be driven,1
3129,He drove a cat,cats do not like to be driven,0
3130,He drove a cat,a cat is too big to drive,0
3132,He enjoyed dining in the school play.,People watch you when you act and you watch others when you dine.,0
3133,He enjoyed dining in the school play.,Acting is in a theatre and dining is in a restaurant.,0
3134,He enjoyed dining in the school play.,"You act in a play, not eat a meal.",1
3136,He got married to a buffalo.,Humans marry humans and not animals.,1
3137,He got married to a buffalo.,Buffaloes are much bigger than humans.,0
3138,He got married to a buffalo.,A buffalo can't sign a marriage license.,0
3140,he used water for hand sanitizing,water and spirit both are liquid,0
3141,he used water for hand sanitizing,water alone cannot kill the germs completely,1
3142,he used water for hand sanitizing,water and spirit both are colorless,0
3144,An elephant is under the table.,Elephants are usually black while the chairs are usually brown.,0
3145,An elephant is under the table.,An elephant is much bigger then a table.,1
3146,An elephant is under the table.,An elephant cannot sleep under the table.,0
3148,The sun needs trees to grow.,If trees grow so must the sun.,0
3149,The sun needs trees to grow.,The sun doesn't need trees.,1
3150,The sun needs trees to grow.,The sun is bigger than trees.,0
3152,Jim boarded a multicoloured rainbow to go on holiday,A rainbow is an effect created when lifht passes through rain water,1
3153,Jim boarded a multicoloured rainbow to go on holiday,Jumbo jets are white and shiny and a rainbow is multicoloured and curved,0
3154,Jim boarded a multicoloured rainbow to go on holiday,A jumbo jet will not change into a rainbow,0
3156,Sometimes going to a funeral causes feeling happy,"children may play, laugh and feel happy during a funeral",0
3157,Sometimes going to a funeral causes feeling happy,no one feels happy by going to a funeral,1
3158,Sometimes going to a funeral causes feeling happy,some people's face may look happy when they cry in a funeral,0
3160,The tree chased the cat.,A tree cannot run.,1
3161,The tree chased the cat.,Trees have leaves.,0
3162,The tree chased the cat.,Cats and dogs have fur.,0
3164,Fried underwear is a popular dish,Underwear doesn't smell like buttered noodles,0
3165,Fried underwear is a popular dish,Underwear is not edible,1
3166,Fried underwear is a popular dish,Underwear isn't served at restaurants,0
3168,i captured a photo in my lunch box,lunch box has no camera to capture the photos,1
3169,i captured a photo in my lunch box,lunch box is too shining like the camera,0
3170,i captured a photo in my lunch box,lunch box is too clear like the camera picture,0
3172,The elephant is blue.,Elephants have trunks.,0
3173,The elephant is blue.,The sky is sometimes cloudy.,0
3174,The elephant is blue.,Elephants are grey.,1
3176,he wore running shoes in his nose,Shoe comes in different color,0
3177,he wore running shoes in his nose,Shoe is not worn on nose normally,1
3178,he wore running shoes in his nose,Shoe is sold by many shops across the city,0
3180,cars are mostly made of ice,ice melts so it is not used for making cars,1
3181,cars are mostly made of ice,ice is colorless and cars are generally white,0
3182,cars are mostly made of ice,ice and metals both are solid,0
3184,He put a tiger in the oven,A tiger can't fit in the oven,1
3185,He put a tiger in the oven,tigers don't taste as good as roasts,0
3186,He put a tiger in the oven,tigers don't like roasts,0
3188,I washed off the stain on my face with clean oil.,Oil is heavier than water.,0
3189,I washed off the stain on my face with clean oil.,Oil stains and does not clean.,1
3190,I washed off the stain on my face with clean oil.,Water flows in a stream but oil does not.,0
3192,Sloth runs faster,Sloth will hang in the trees most of the time,0
3193,Sloth runs faster,Sloth is 40 million old species,0
3194,Sloth runs faster,Sloth is noted for slowness movement,1
3196,A bin contains different books,A book is smaller than a bin,0
3197,A bin contains different books,Bin and book start with and contain the same consonant,0
3198,A bin contains different books,Bins are used for litter and it is not usually books,1
3200,The simplest carbohydrates are amino acid,amino acids are proteins,1
3201,The simplest carbohydrates are amino acid,carbohydrates and proteins are Biomolecules,0
3202,The simplest carbohydrates are amino acid,carbohydrates can built muscles,0
3204,He watched the commercials in radio,People normally listen to radio as there are no visual content,1
3205,He watched the commercials in radio,Radio comes in many sizes and colors,0
3206,He watched the commercials in radio,Radio is costly nowadays,0
3208,My cat drinks nail polish everyday.,Nail polish is toxic to cats.,1
3209,My cat drinks nail polish everyday.,Nail polish comes in different colors.,0
3210,My cat drinks nail polish everyday.,You can buy nail polish online.,0
3212,He wiped his mouth on a driveway.,Nobody wipes their mouth on the ground.,1
3213,He wiped his mouth on a driveway.,The driveway is much larger than the mouth.,0
3214,He wiped his mouth on a driveway.,The mouth is not attached to the mouth.,0
3216,People can only learn a language when they are young.,The young sometime learn foreign languages.,0
3217,People can only learn a language when they are young.,Foreign languages can confuse young people.,0
3218,People can only learn a language when they are young.,Adults can pick up a foreign language.,1
3220,Pigeons live deep underwater,Pigeons get wet in the rain,0
3221,Pigeons live deep underwater,Pigeons are not aquatic,1
3222,Pigeons live deep underwater,Pigeons can get mites,0
3224,I bought the coach bag from a grocery store close to my work place.,Grocery stores does not sell designer clothing like the coach bag.,1
3225,I bought the coach bag from a grocery store close to my work place.,Grocery stores sells perishable items while departmental stores sell non perishable items.,0
3226,I bought the coach bag from a grocery store close to my work place.,Departmental stores has clothing change rooms but a Grocery store has none.,0
3228,"For a vehicle to run, it must have vegetable oil.",Vegetable oil is not used to make cars run.,1
3229,"For a vehicle to run, it must have vegetable oil.",Go to the grocery store and buy some vegetable oil.,0
3230,"For a vehicle to run, it must have vegetable oil.","My car is low on oil, so I need you to pick up a few quarts from the auto supply store.",0
3232,he went to the medical shop to eat breakfast,Medical shop has lot of medicines,0
3233,he went to the medical shop to eat breakfast,we can see the staffs at medical shop,0
3234,he went to the medical shop to eat breakfast,medical shop will not sells foods ever,1
3236,Bricks are made from vegetables,Bricks and vegetables can be made out the same colour,0
3237,Bricks are made from vegetables,There can be vegetables among bricks made of clay,0
3238,Bricks are made from vegetables,Vegetables are not a hard material to work with to prepare a brick,1
3240,The crocodile smoked a cigar,Crocodiles cannot light and smoke a cigar,1
3241,The crocodile smoked a cigar,Crocodiles are anti-smoking,0
3242,The crocodile smoked a cigar,Crocodiles do not like the taste of cigars,0
3244,He drove his car from Los Angeles to Honolulu,There are not enough gas stations in the Pacific Ocean to complete the drive,0
3245,He drove his car from Los Angeles to Honolulu,Cars cannot drive in the ocean when a bridge is not present,1
3246,He drove his car from Los Angeles to Honolulu,The Pacific Ocean has to freeze before you can drive on it,0
3248,Duct tape can be used to seal air.,Duct tape is sticky and durable.,1
3249,Duct tape can be used to seal air.,Duct tape is gray and air ducts are gray.,0
3250,Duct tape can be used to seal air.,A duct allows tears to stream down the face.,0
3252,police  treat the illness of patient,police protect their community by fighting and preventing crime,1
3253,police  treat the illness of patient,police and doctor both are government employee .,0
3254,police  treat the illness of patient,police and doctors both have cars,0
3256,He went to the hospital to withdraw money.,Hospitals may not have enough cash.,0
3257,He went to the hospital to withdraw money.,People  do not keep their money in hospitals.,1
3258,He went to the hospital to withdraw money.,You can only find patients and doctors  in hospitals.,0
3260,The dog screamed at the man,A dog's scream is not loud enough for a human to hear,0
3261,The dog screamed at the man,Dogs can't scream,1
3262,The dog screamed at the man,Dogs don't have a tongue and therefore cannot scream,0
3264,He parked the cat in the garage,"Cars require gas, and cats require food",0
3265,He parked the cat in the garage,Cats cannot drive cars,0
3266,He parked the cat in the garage,"A car is a vehicle, and a cat is a common household pet",1
3268,A lever contains several parts as a machine,A lever is a machine without several parts on it,0
3269,A lever contains several parts as a machine,A lever is the simplest form of machine,1
3270,A lever contains several parts as a machine,One type of machine containing no several parts on it is a lever,0
3272,Tar is white in color,Tar is used to lay roads,0
3273,Tar is white in color,Tar is black in color,1
3274,Tar is white in color,Tar is a component of crude oil,0
3276,my brother look like water,my brother drink water,0
3277,my brother look like water,my brother take water to office,0
3278,my brother look like water,water is not have a shape,1
3280,An octagon has five sides.,A pentagon has fewer sides than an octagon.,0
3281,An octagon has five sides.,A pentagon has five sides.,1
3282,An octagon has five sides.,A shape can't be both pentagon and octagon.,0
3284,A trumpet is played by strumming.,A trumpet can be played alongside strummed instruments.,0
3285,A trumpet is played by strumming.,A trumpet has a sound distinct from strummed instruments like banjos.,0
3286,A trumpet is played by strumming.,A trumpet doesn't have strings to strum.,1
3288,Basketball is a team sport so you need to pass to your trees,A tree is tall but cannot play basketball,0
3289,Basketball is a team sport so you need to pass to your trees,"A sport is played by people, so a tree cannot play or catch a ball.",1
3290,Basketball is a team sport so you need to pass to your trees,if you pass the basketball to a tree it will bounce off,0
3292,my elephant is driving a car,an elephant is much bigger than a car,1
3293,my elephant is driving a car,elephant are usually gray while cars are usually white,0
3294,my elephant is driving a car,an elephant cannnot eat a car,0
3296,There is multiple days in an hour.,Minutes are in hours and days.,0
3297,There is multiple days in an hour.,Seconds are in days and hours.,0
3298,There is multiple days in an hour.,An hour consists of minutes and not days.,1
3300,She cut the rock with scissors,Scissors can't cut rocks,1
3301,She cut the rock with scissors,Scissors and rocks come in different sizes,0
3302,She cut the rock with scissors,Scissors are sharper than rocks,0
3304,Ice is hot in the summer,"Ice is, by nature, cold and frozen",1
3305,Ice is hot in the summer,Ice is common in the winter,0
3306,Ice is hot in the summer,Ice is made of water,0
3308,Cats enjoy eating microwaves,Cats don't like the taste of microwaves,0
3309,Cats enjoy eating microwaves,Microwaves are inedible,1
3310,Cats enjoy eating microwaves,Cats think microwaves are dangerous,0
3312,My dog is being prepared by my father,My father can prepare a meal for my dog,0
3313,My dog is being prepared by my father,My father can be prepared to see my dog,0
3314,My dog is being prepared by my father,An animal is not an object that can be prepared,1
3316,He has hat on his nose,Hat normally comes in brown color,0
3317,He has hat on his nose,Hat is usually worn on head,1
3318,He has hat on his nose,Nose is in triangle shape,0
3320,The boy went to the moon after playing with his friends.,Many boys dream of going to the moon.,0
3321,The boy went to the moon after playing with his friends.,The moon is easy to see in the night sky.,0
3322,The boy went to the moon after playing with his friends.,People cannot go to the moon on their own.,1
3324,He cut the grass with a pair of scissors.,Scissors are sharp and can cut things,0
3325,He cut the grass with a pair of scissors.,lawn mowers have blades and motors,0
3326,He cut the grass with a pair of scissors.,It would take way too long to cut the grass of a home with a pair of scissors.,1
3328,I skated on the ice without ice skates.,Ice skates usually have steel blades that help you to cut into the ice.,0
3329,I skated on the ice without ice skates.,Ice skating around on the ice happens when you skate around on skates on the ice.,0
3330,I skated on the ice without ice skates.,You can't skate on ice unless you have ice skates on.,1
3332,the store drove the car,"stores are buildings, cars are vechicles",0
3333,the store drove the car,stores cant fit into cars,1
3334,the store drove the car,stores cant walk,0
3336,A giraffe got into the taxi,A giraffe cannot drive  taxi.,0
3337,A giraffe got into the taxi,A giraffe does not live where taxis are.,0
3338,A giraffe got into the taxi,A giraffe cannot fit into a car.,1
3340,He plays baseball with zebras on the weekend,Zebras only play baseball on week days,0
3341,He plays baseball with zebras on the weekend,Zebras only play basketball,0
3342,He plays baseball with zebras on the weekend,Zebras do not play baseball and are not related to the sport,1
3344,I rode a beaver to work.,Beavers can chop wood with their teeth.,0
3345,I rode a beaver to work.,Humans are too large to ride beavers.,1
3346,I rode a beaver to work.,Beavers get lost in traffic rather easily.,0
3348,he took some water by a book to drink,There are lot of printed characters in the book.,0
3349,he took some water by a book to drink,We can read the book at all time,0
3350,he took some water by a book to drink,no one peoples try to take waters by a book,1
3352,I like eating books,Books cannot be eaten because they are not edible,1
3353,I like eating books,There can be books about me eating books,0
3354,I like eating books,I like books about eating food,0
3356,Audiences perform during a play.,The audience are passive watchers.,1
3357,Audiences perform during a play.,Audiences don't write the play.,0
3358,Audiences perform during a play.,Audiences don't direct the play.,0
3360,He took a nap on the tomato,Tomatos are fragile while couches are firm,0
3361,He took a nap on the tomato,A tomato has a green stem,0
3362,He took a nap on the tomato,A tomato would get squished if you took a nap on it,1
3364,A face cream is for combing your hair,Face creams are aromatic,0
3365,A face cream is for combing your hair,Face creams are semi solid in consistency,0
3366,A face cream is for combing your hair,Face cream is for skins,1
3368,He wore the bottle since it was raining,Bottle is not a dress,1
3369,He wore the bottle since it was raining,Bottle is sometimes small,0
3370,He wore the bottle since it was raining,Bottle comes in different color,0
3372,playing frisbee is for people who like to play football,People avoid doing things they like so if they play sport they do frisbee,0
3373,playing frisbee is for people who like to play football,People avoid doing things they dislike so if they like play frisbee they do that sport,1
3374,playing frisbee is for people who like to play football,frisbee if they play sport they avoid doing things,0
3376,He zipped up his hamster.,Hamsters don't eat zippers.,0
3377,He zipped up his hamster.,Hamsters don't have zippers.,1
3378,He zipped up his hamster.,Hamsters are animate while zippers aren't.,0
3380,Ketchup is a type of book,ketchup has no relation with books in a physical form,1
3381,Ketchup is a type of book,There can be a book containing the word ketchup,0
3382,Ketchup is a type of book,Books can be titled with a ketchup colour,0
3384,Fishes can only live on land.,Fishes are afraid of land.,0
3385,Fishes can only live on land.,Fishes cannot move on land.,0
3386,Fishes can only live on land.,Fishes are not able to respire on land.,1
3388,my brother drive lion,lion is forest animal,0
3389,my brother drive lion,lion is not a vehicle,1
3390,my brother drive lion,my brother car color same like a lion color,0
3392,my sister drive lion,lion is run fast,0
3393,my sister drive lion,lion look is very beautiful,0
3394,my sister drive lion,lion is not a vehicle,1
3396,One person ate dinner and three of them were vegetarians.,Only one person in three is a vegetarian.,0
3397,One person ate dinner and three of them were vegetarians.,"If only one person was eating dinner, there could not have been three vegetarians.",1
3398,One person ate dinner and three of them were vegetarians.,Three people at every dinner party are vegetarian.,0
3400,The boy went to a restaurant to learn from a teacher.,Restaurants aren't equipped as learning environments.,0
3401,The boy went to a restaurant to learn from a teacher.,Teachers do not work at restaurants.,0
3402,The boy went to a restaurant to learn from a teacher.,"A school is for learning, and a restaurant is for dining.",1
3404,I usually eat red shoes.,Shoes are too soft to eat,0
3405,I usually eat red shoes.,You cannot eat shoes,1
3406,I usually eat red shoes.,Shoes are too bitter to eat,0
3408,He floated a green fence to space.,Fences are red while ballons are green.,0
3409,He floated a green fence to space.,A green fence is too heavy to float.,1
3410,He floated a green fence to space.,a balloon can't keep pets in a yard.,0
3412,The house had a banana on top to protect if from lightning.,A banana is a very poor conductor of electricity so it could not protect the house from lightning.,1
3413,The house had a banana on top to protect if from lightning.,A banana would not be an attractive addition to a house.,0
3414,The house had a banana on top to protect if from lightning.,Bananas degrade much faster than metal in a lightning rod.,0
3416,There are many whales in the swamp.,whales cannot eat a swamp.,0
3417,There are many whales in the swamp.,Whales don't live in swamps.,1
3418,There are many whales in the swamp.,whales don't camouflage well in a swamp.,0
3420,She cooked a smoothie with broth,Broth and smoothies are liquids,0
3421,She cooked a smoothie with broth,Broth isn't used in smoothies,1
3422,She cooked a smoothie with broth,Smoothies are usually colder than broth,0
3424,They took the patient in a cooker,Cooker is not a vehicle,1
3425,They took the patient in a cooker,Cooker is made of steel,0
3426,They took the patient in a cooker,There are many cooker brand in market,0
3428,The movie was fun to read,"You watch a movie, not read it",1
3429,The movie was fun to read,The movie was a horror movie,0
3430,The movie was fun to read,The movie had 5 characters,0
3432,Took the child to the hospital to learn to read and write.,Hospitals have no teachers to teach reading and writing,1
3433,Took the child to the hospital to learn to read and write.,Hospitals are usually cold and we have to wear a blouse,0
3434,Took the child to the hospital to learn to read and write.,Teachers wear scarf to go to hospital,0
3436,Pluto is the closest planet to the sun.,Pluto and Mercury are in space.,0
3437,Pluto is the closest planet to the sun.,Earth and Mercury are far from the sun.,0
3438,Pluto is the closest planet to the sun.,Pluto is not considered a planet.,1
3440,Justin Bieber is a famous musician who is not from this century,Justin Bieber and Mozart are musicians from different centuries,0
3441,Justin Bieber is a famous musician who is not from this century,Justin Bieber was born in the last century and he produces music,0
3442,Justin Bieber is a famous musician who is not from this century,Justin Bieber is alive and still producing music,1
3444,My daughter is wearing a pistol jacket,My daughter can wear a pistol and a jacket,0
3445,My daughter is wearing a pistol jacket,There can be pistols inside a jacket being worn by my daughter,0
3446,My daughter is wearing a pistol jacket,"There is not a type of jacket that is called ""pistol""",1
3448,He put cat to his hair,a cat is not good for the hair,1
3449,He put cat to his hair,cat are usually white while hair is usually black,0
3450,He put cat to his hair,cat cannot eat  hair,0
3452,my sister store house in fridge,fridge is inside house,0
3453,my sister store house in fridge,fridge color white and house color is white,0
3454,my sister store house in fridge,fridge is small size compare to house,1
3456,He eats a box of spatulas,Spatulas have a bad flavor.,0
3457,He eats a box of spatulas,Spatulas are not edible,1
3458,He eats a box of spatulas,Spatulas can't be cooked.,0
3460,My table is updating,You can have a computer being updating on a table,0
3461,My table is updating,A table cannot be updated like a computer,0
3462,My table is updating,A table cannot have software to be updated,1
3464,Some skycrapers are much shorter than churches.,"Churches are for worship, skyscrapers are for commerce.",0
3465,Some skycrapers are much shorter than churches.,Churches are not skyscrapers in height.,1
3466,Some skycrapers are much shorter than churches.,"Skyscrapers are built, churches are prayed in.",0
3468,The sail blows the wind,The sail blows his winnings in the casino,0
3469,The sail blows the wind,The casino is sailing with the wind and won the jackpot,0
3470,The sail blows the wind,The sail cannot blow the wind because only the wind can push the sail,1
3472,He got out of his steering wheel.,A steering wheel is round.,0
3473,He got out of his steering wheel.,A person cannot fit in a steering wheel.,1
3474,He got out of his steering wheel.,A steering wheel is adjustable.,0
3476,The cow is sit on the chair,cow is much bigger then a chair,1
3477,The cow is sit on the chair,The cows are usually white while The chairs are usually brown,0
3478,The cow is sit on the chair,The cow cannot dance on the chair,0
3480,He took a lion for a walk.,A lion is not a pet.,1
3481,He took a lion for a walk.,Lions live in the wilderness.,0
3482,He took a lion for a walk.,Lions can eat people.,0
3484,He owns two oceans.,"Nobody can own the ocean, but many people own cats.",1
3485,He owns two oceans.,"An ocean is wet, while cats meow.",0
3486,He owns two oceans.,Cats do not live in the ocean.,0
3488,50 eggs were harvested from the humans.,Humans don't lay eggs.,1
3489,50 eggs were harvested from the humans.,Humans are alive and eggs are not alive.,0
3490,50 eggs were harvested from the humans.,"Eggs are white and round, humans are of different sizes and colors.",0
3492,There are unknown monsters in lakes,Lakes have been thoroughly examined and every animal inhabiting them is already known,1
3493,There are unknown monsters in lakes,Lakes are smaller than the sea where every unknown monster has not yet been examined,0
3494,There are unknown monsters in lakes,There are tales with unknown monsters in lakes,0
3496,THE MAN  HAS TO EAT STONE IN EVERYDAY.,STONE IS USUALLY IN ROUND SHAPES JUST LIKE SOME FOOD,0
3497,THE MAN  HAS TO EAT STONE IN EVERYDAY.,ATONE IS TOO LARGE FOR A MAN'S MOUTH,0
3498,THE MAN  HAS TO EAT STONE IN EVERYDAY.,NO ONEEATS STONES AS FOOD,1
3500,He is wearing a pizza to the wedding,"A pizza is something you eat, not wear",1
3501,He is wearing a pizza to the wedding,Pizzas are messy,0
3502,He is wearing a pizza to the wedding,Pizzas are odorous,0
3504,You are always likely to find a potato in a bag.,Potatoes aren't always found in bags.,1
3505,You are always likely to find a potato in a bag.,Potatoes can be found in boxes,0
3506,You are always likely to find a potato in a bag.,Potatoes and bags are brown.,0
3508,She uses a paint bucket to clean the room,Paint buckets can paint rooms in different colors,0
3509,She uses a paint bucket to clean the room,Paint buckets can renovate rooms,0
3510,She uses a paint bucket to clean the room,Paint buckets are used to paint rooms,1
3512,He put the baby in the fridge,Babies think fridges are smelly,0
3513,He put the baby in the fridge,"Babies need to be cared for, not ignored",1
3514,He put the baby in the fridge,Fridges are too small for babies to fit in,0
3516,Coffee is a snack.,Coffee goes well with sweet snacks.,0
3517,Coffee is a snack.,Sweet snacks are foods that can be dipped in coffee.,0
3518,Coffee is a snack.,Coffee is a drink rather than a food.,1
3520,The cat is a table,Tables are too big,0
3521,The cat is a table,A cat can't be a table because it's an animal,1
3522,The cat is a table,Cats have a tail while tables don't,0
3524,He drinks Poison Daily by morning,Poison are different color but milk is white color,0
3525,He drinks Poison Daily by morning,Poison are very dangerous to health but milk is safe,1
3526,He drinks Poison Daily by morning,milk cannot eat poison,0
3528,Cake baked the chef,Cake is yellow and human is flesh,0
3529,Cake baked the chef,Cakes cant breath,0
3530,Cake baked the chef,Cake cant not think or react.,1
3532,I called my Tailor to come fix my Bathtub.,Plumbers work with Pliers while Tailors work with Scissors,0
3533,I called my Tailor to come fix my Bathtub.,Tailors deal with clothing and not Bathtub..,1
3534,I called my Tailor to come fix my Bathtub.,Tailors are into soft furnishings wheres Plumbers are into hard furnishings.,0
3536,the doctor checked the heart beat with thermometer,thermometer is costly and fragile,0
3537,the doctor checked the heart beat with thermometer,Thermometer comes in different models,0
3538,the doctor checked the heart beat with thermometer,thermometer is to check the temperature,1
3540,I ate an aeroplane for lunch.,Aeroplanes fly using lift generated by a difference in pressure.,0
3541,I ate an aeroplane for lunch.,Aeroplanes do not have to eat as they are not alive.,0
3542,I ate an aeroplane for lunch.,"Aeroplanes are too large to eat and are made of metal, which is inedible.",1
3544,Humans have hollow bones so they can fly,"Human bones contain marrow, and humans cannot fly",1
3545,Humans have hollow bones so they can fly,Humans have 206 bones,0
3546,Humans have hollow bones so they can fly,Human bones self repair after a fracture,0
3548,teacher teaches lessons by her nose,We can not use nose to speak,1
3549,teacher teaches lessons by her nose,nose is the best organ to smell,0
3550,teacher teaches lessons by her nose,nose has two wholes.,0
3552,she drives her boat in the highway,"boats only work in water , i.e. in a river",1
3553,she drives her boat in the highway,you can drive a boat in a river,0
3554,she drives her boat in the highway,there are different types of boats,0
3556,Calculating numbers in different ways is called biology.,"In biology class, we never calculate numbers.",0
3557,Calculating numbers in different ways is called biology.,Learning to calculate numbers is hard.,0
3558,Calculating numbers in different ways is called biology.,Biology has nothing to do with numbers.,1
3560,the car lamp got punctured,lamp is generally white color,0
3561,the car lamp got punctured,lamp comes in different model,0
3562,the car lamp got punctured,lamp does not get punctured,1
3564,the girl wore chair in her neck,chair is not an ornament,1
3565,the girl wore chair in her neck,Chair is sold in different store,0
3566,the girl wore chair in her neck,Chair comes in different model,0
3568,I need to eat some plastic to get energy.,Grocery stores use plastic bags.,0
3569,I need to eat some plastic to get energy.,The bag buy put my food items in plastic bags.,0
3570,I need to eat some plastic to get energy.,Plastic does not provide energy for humans.,1
3572,Weather can be easily predicted.,Computational weather prediction can't exist without computers.,0
3573,Weather can be easily predicted.,A lot of complex computations go into predicting the weather.,1
3574,Weather can be easily predicted.,Computational weather prediction can't exist without people.,0
3576,a blowdryer is used for turning electricity into wetting a cloth,a blowdryer is used with electicity so it cannot wet a cloth,0
3577,a blowdryer is used for turning electricity into wetting a cloth,a blowdryer cannot wet a cloth,1
3578,a blowdryer is used for turning electricity into wetting a cloth,a blowdryer is too small to wet a cloth,0
3580,Students create tests to assess their learning.,It is the teacher that creates the test.,1
3581,Students create tests to assess their learning.,Students test teachers' patience.,0
3582,Students create tests to assess their learning.,Teacher test both good and bad students.,0
3584,The logger chopped down the star,Loggers can not see stars,0
3585,The logger chopped down the star,Stars are smaller than loggers,0
3586,The logger chopped down the star,Stars can not be chopped down,1
3588,a lamp is used for sitting on,A lamp is used to light a room,0
3589,a lamp is used for sitting on,A lamp is often placed on a table,0
